序号;片名;评分;导演;主演;一句话点评
65;V字仇杀队;8.9;詹姆斯·麦克特格;娜塔莉·波特曼;一张面具背后的理想与革命。
66;让子弹飞;8.8;姜文;姜文;你给我翻译翻译，神马叫做TMD的惊喜。
67;看不见的客人;8.8;奥里奥尔·保罗;马里奥·卡萨斯;你以为你以为的就是你以为的。
68;西西里的美丽传说;8.9;朱塞佩·托纳多雷;莫妮卡·贝鲁奇;美丽无罪。
69;小鞋子;9.2;马基德·马基迪;法拉赫阿米尔·哈什米安;奔跑的孩子是天使。
70;拯救大兵瑞恩;9.0;史蒂文·斯皮尔伯格;汤姆·汉克斯;美利坚精神输出大片No1.
71;绿皮书;8.9;彼得·法雷里;维果·莫腾森;去除成见，需要勇气。
72;海豚湾;9.3;路易·西霍尤斯;Richard;海豚的微笑，是世界上最高明的伪装。
73;情书;8.9;岩井俊二;中山美穗;暗恋的极致。
74;穿条纹睡衣的男孩;9.1;马克·赫尔曼;阿萨·巴特菲尔德;尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
75;海蒂和爷爷;9.2;阿兰·葛斯彭纳;阿努克·斯特芬;如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
76;音乐之声;9.0;罗伯特·怀斯;朱莉·安德鲁斯;用音乐化解仇恨，让歌声串起美好。
77;美国往事;9.2;赛尔乔·莱翁内;罗伯特·德尼罗;往事如烟，无处祭奠。
78;致命魔术;8.9;克里斯托弗·诺兰;休·杰克曼;孪生蝙蝠侠大战克隆金刚狼。
79;低俗小说;8.8;昆汀·塔伦蒂诺;约翰·特拉沃尔塔;故事的高级讲法。
80;七宗罪;8.8;大卫·芬奇;摩根·弗里曼;警察抓小偷，老鼠玩死猫。
81;沉默的羔羊;8.8;乔纳森·戴米;朱迪·福斯特;安东尼·霍普金斯的顶级表演。
82;蝴蝶效应;8.8;埃里克·布雷斯;;人的命运被自己瞬间的抉择改变。
83;禁闭岛;8.8;Martin;莱昂纳多·迪卡普里奥;昔日翩翩少年，今日大腹便便。
84;春光乍泄;8.9;王家卫;张国荣;爱情纠缠，男女一致。
85;心灵捕手;8.9;格斯·范·桑特;马特·达蒙;人生中应该拥有这样的一段豁然开朗。
86;布达佩斯大饭店;8.8;韦斯·安德森;拉尔夫·费因斯;小清新的故事里注入了大历史的情怀。
87;被嫌弃的松子的一生;8.9;中岛哲也;中谷美纪;以戏谑来戏谑戏谑。
88;阿凡达;8.7;詹姆斯·卡梅隆;萨姆·沃辛顿;绝对意义上的美轮美奂。
89;摩登时代;9.3;查理·卓别林;查理·卓别林;大时代中的人生，小人物的悲喜。
90;剪刀手爱德华;8.7;蒂姆·波顿;约翰尼·德普;浪漫忧郁的成人童话。
91;勇敢的心;8.9;梅尔·吉布森;梅尔·吉布森;史诗大片的典范。
92;天使爱美丽;8.7;让-皮埃尔·热内;奥黛丽·塔图;法式小清新。 
93;喜剧之王;8.7;周星驰;周星驰;我是一个演员。
94;致命ID;8.8;詹姆斯·曼高德;约翰·库萨克;最不可能的那个人永远是最可能的。
95;加勒比海盗;8.8;戈尔·维宾斯基;约翰尼·德普;约翰尼·德普的独角戏。
96;断背山;8.8;李安;希斯·莱杰;每个人心中都有一座断背山。
